Log Type,Message,Original URL,Proxy URL,Status Code,Date,Time,Total Time Taken (seconds)
amz_listings opened,Spider Opened,,,,2024-12-14,17:38:48,
Engine Started,Engine Started,,,,2024-12-14,17:38:48,
Request Scheduled,Request Scheduled,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,Scheduled,2024-12-14,17:38:48,
Request Reached Downloader,Request Reached Downloader,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:48,
Headers Received,Headers Received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:51,
Bytes Received,11974 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:51,
Bytes Received,1397 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,2514 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,499 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,8635 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,3918 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
